Рецептурный справочник радиолюбителя|Михайлов В. В.
Ретроспективная идентификация возмущений и помех|Гельфандбейн Я. А.
Миниатюрные радиоустройства|Петров И. Н.
Современная теория фильтров и их проектирование|Аппаратура
Автоматическое регулирование в электроэнергетических системах|Коротков В. Ф.
У истоков полупроводниковой техники. Избранные труды|Лосев О. В.
Коллектив авторов - Arduino. Сборник (21 книга + 6CD)|Коллектив авторов
В помощь радиолюбителю. Выпуск 20|Ломанович В. и др.
Armstrong Subero - Programming PIC Microcontrollers with XC8|Armstrong Subero
Программируем Arduino: Основы работы со скетчами, 2-е изд.|Монк С.
Электронные средства связи|Дьяконов В. П.
В помощь радиолюбителю. Выпуск 21|Аппаратура
Методы проектирования электронных устройств|Шеин А. Б.
Основы физики полупроводников|Зегря Г. Г.
Микропроцессорные системы управления устройствами силовой электроники. В 2 ч. Ч. 2.|Баховцев И. А.
"Солон" - Радиолюбителям. Сборник (34 книги + 6CD)|разные
Теория и расчет многообмоточных трансформаторов|Хныков А. В.
Радиоэлектроника для начинающих (и не только)|Бессонов В. В.
Микропроцессоры. Архитектура и программирование операций|Тройников В. С.
Основы электроники|Водовозов А. М.
Конструирование источников питания звуковых усилителей|Рогов И. Е.
Электроника - практический курс|Джонс М. Х.
В помощь радиолюбителю. Выпуск 23|Хмарцев В. и др.
Сборник задач по электротехнике и электронике|Бладыко Ю.В.(ред.)
В помощь радиолюбителю. Выпуск 24|Путятин И.
Микросхемы для современных импортных телевизоров — 1|Аппаратура
Справочник по новым радиоизмерительным приборам|Шкурин Г. П.
Искусство схемотехники|Хоровиц П.
Мир электроники. Сборник (50 книг + 1CD)|разные
Микрофоны и телефоны. Справочник|Сидоров И. Н.
Интеллектуальные сенсоры|Войтович И. Д.
Радиоэлектроника за рубежом. Техническая информация. Выпуск 46|Выпуск подготовили: Э. В. Аратюиянц
Промышленные роботы. Кинематика, динамика, контроль и управление|Булгаков А. Г.
Управление качеством при проектировании теплонагруженных радиоэлектронных средств|Жаднов В. В.
Компоненты приводов мехатронных устройств|Пономарев С. В.
Современные средства автоматизации|Николайчук О. И.
Адаптивные оптические системы коррекции наклонов. Резонансная адаптивная оптика|Шанин О. И.
Широкополосные системы и кодовое разделение сигналов. Принципы и приложения|Ипатов В. П.
Электроника. Логические микросхемы, усилители и датчики для начинающих|Платт Ч.
Книга радиомастера. Сборник (3 книги)|Лабутин В. К.
Цветные телевизоры пятого и шестого поколений|Ельяшкевич С. А.
Книги серии "Телевизионный прием"|Ельяшкевич С. А.
Неисправности радиоизмерительной аппаратуры. Справочное пособие|Эстеркин М. С.
Оптимальный синтез линейных электронных схем|Ланнэ А. А.
Справочник радиолюбителя-конструктора. Издание 3|Аппаратура
Микропроцессорная техника в мехатронике и робототехнике|Рыбин А. А.
Программирование микроконтроллеров. Лабораторный практикум|Сиротин Ф. Л. и др.
Прецизионные непроволочные резисторы|Мартюшов К. И.
Владимир Михайлов - Лучшая книга для домашнего электрика. Современная электросеть|Владимир Михайлов
Конструирование микромодульной аппаратуры|Аппаратура
Основы техники звукоусиления|Анерт В.
Транзисторные и варакторные устройства. Анализ и синтез|Аблин А. Н.
Частично заполненные прямоугольные волноводы|Егоров Ю. В.
От Arduino до Omega: платформы для мейкеров шаг за шагом|Валерий Яценков
Электроэнергетика глазами молодежи - 2016. В 3-х томах|Коллектив
Уроки робототехники. Конструкция. Движение. Управление|Филиппов С. А.
Конструируем роботов на Lego Mindstorms Education EV3. Который час?|Валуев А. А.
Микросхемы - усилители мощности низкой частоты. Справочник|Турута Е. Ф.
Мобильные минироботы|Карпов В. Э.
Микромеханические системы и элементы|Андрей Кашкаров
Система спутниковой навигации ГЛОНАСС|Андрей Кашкаров
Жизнь без проводов. Как изготовить ветроэлектростанцию для электроснабжения дома|Александр Горбунов
Проектирование электрических сетей|Ананичева С. С.
Азбука радиолюбителя. Перевод с польского|Климчевский Ч.
Наноэлектроника. Книга 2: Наноструктурированные материалы и функциональные  устройства|Якименко Ю. И.
Наноэлектроника. Книга 1: Введение в наноэлектронные технологии|Якименко Ю. И.
Инфракрасное излучение в электронике|Шрайбер Г.
Hi-end-усилители на «военных» лампах|Храмушин А. С.
Радиолокационный скоростной портрет. Основы теории|Лавров А. А.
Телевизоры Philips|Аппаратура
Трансформаторы|Серебряков А. С.
Микро-ЭВМ|Аппаратура
Микропроцессоры и микроЭВМ в радиоэлектронных средствах: Учебник для вузов по специальности «Конструирование и технология радиоэлектронных средств»|Корячко В. П.
Датчики. Справочное пособие|Шарапов В. М.
Электронные схемы и системы|Оуэн Бишоп
Техника и приборы сверхвысоких частот: Учебник для техникумов|Гутцайт Э. М.
Паровые и газовые турбины для электростанций|Костюк А. Г.
Электрофизические основы техники высоких напряжений|Бортник И. М.
Raspberry Pi. Сборник из 6 книг + 4CD|разные
Современный квартирный электрик. 2-е изд.|Пестриков В. М.
Основы полупроводниковой электроники|Бурбаева Н. В.
Справочник по микроэлектронной импульсной технике|Яковлев В. Н.
Разработка систем цифровой обработки сигналов на базе ПЛИС|Потехин Д. С.
Усилители промежуточной частоты|Симонов Ю. П.
Современные цифровые ЖК телевизоры|Аппаратура
Кашкаров Андрей - Новаторские решения в электронике|Кашкаров Андрей
Конечные поля в телекоммуникационных приложениях. Теория и применение FEC, CRC, M-последовательностей|Власов Е. Г.
Электрорадиоматериалы: Учебник для техникумов|Калинин Н. Н.
Микропроцессорное управление сварочными системами|Семистенов Д. А.
В.А. Матвиенко, А.В. Матвиенко - Программирование микроконтроллеров ST7|В.А. Матвиенко
Устройства функциональной электроники|Игумнов В. Н.
Измерительные устройства на базе микропроцессора Atmega (+CD)|Шонфелдер Г.
Радиоизмерения. Издние 3|Ремез Г. А.
Настольная энциклопедия электрика от специалистов EKF|Савченко М.
Проектирование систем на микропроцессорах и микроконтроллерах|Кузяков О. Н.
Дистанционное управление кранами|Семерня Н. Ф.
Конструкции и механический расчет линий электропередачи|Крюков К. П.
Электромагнитные муфты скольжения|Щетинин Т. А.
Микрополосковые антенны и решетки в слоистых средах|Чебышев В. В.
Импульсная электродинамика широкополосных радиосистем и поля связанных структур|Подосёнов С. А.
Импульсная техника|Берикашвили В. Ш.
Сверхразрешение в системах пассивного радиовидения|Тимановский А. Л.
Солнечные фотоэлектрические станции|Амерханов Р. А.
Радиостанция своими руками|Шмырев А. А.
Выжми все из мобильного телефона|Пестриков В. М.
